timestamp,regime_label,TREND,CHOP,RISK_OFF,mode
2019-02-12T00:00:00+00:00,TREND,0.7344778252122143,0.24924064328093634,0.01628153150685577,pairs_only
2019-02-13T00:00:00+00:00,TREND,0.7368164461035323,0.23475245461805286,0.028431099278401043,pairs_only
2019-02-14T00:00:00+00:00,TREND,0.7220475588371432,0.2319999405725788,0.04595250059027566,pairs_only
2019-02-15T00:00:00+00:00,TREND,0.7334021885873319,0.23294540028194907,0.033652411130723446,pairs_only
2019-02-18T00:00:00+00:00,TREND,0.7357429916201921,0.23668409699849344,0.02757291138131768,pairs_only
2019-02-19T00:00:00+00:00,TREND,0.737502164491103,0.23507376153707218,0.027424073971816874,pairs_only
2019-02-20T00:00:00+00:00,TREND,0.7405677019305982,0.23845827055654437,0.020974027512851268,pairs_only
2019-02-21T00:00:00+00:00,TREND,0.716556214746916,0.23133559695445877,0.052108188298636234,pairs_only
2019-02-22T00:00:00+00:00,TREND,0.6833246602614148,0.22070241048020395,0.09597292925838309,pairs_only
2019-02-25T00:00:00+00:00,TREND,0.4476417451042447,0.14568251803270796,0.4066757368630569,pairs_only
2019-02-26T00:00:00+00:00,TREND,0.22643896338008881,0.07368781532425286,0.6998732212956621,pairs_only
2019-02-27T00:00:00+00:00,RISK_OFF,0.07486518496739787,0.0256214751213474,0.8995133399112607,pairs_only
2019-02-28T00:00:00+00:00,RISK_OFF,0.03656776407952007,0.013600480236532524,0.9498317556839451,pairs_only
2019-03-01T00:00:00+00:00,RISK_OFF,0.022193077261244174,0.010344682556367018,0.9674622401823759,pairs_only
2019-03-04T00:00:00+00:00,RISK_OFF,0.012081682349477697,0.006797084804481484,0.9811212328460269,pairs_only
2019-03-05T00:00:00+00:00,RISK_OFF,0.008964717212553338,0.00529865161671522,0.985736631170741,pairs_only
2019-03-06T00:00:00+00:00,RISK_OFF,0.005205509239610855,0.0033244119590961985,0.9914700788012794,pairs_only
2019-03-07T00:00:00+00:00,RISK_OFF,0.004915884630062398,0.0028052561145067265,0.9922788592554337,pairs_only
2019-03-08T00:00:00+00:00,RISK_OFF,0.001834281218566968,0.001078681636881399,0.9970870371445657,pairs_only
2019-03-11T00:00:00+00:00,RISK_OFF,0.0010808188576521842,0.0005063052303946381,0.9984128759119612,pairs_only
2019-03-12T00:00:00+00:00,RISK_OFF,0.001129924754468978,0.0004952128916402722,0.9983748623538775,pairs_only
2019-03-13T00:00:00+00:00,RISK_OFF,0.001347192630840857,0.000594302323421202,0.9980585050457378,pairs_only
2019-03-14T00:00:00+00:00,RISK_OFF,0.017293504995756895,0.007724124914530394,0.9749823700897081,pairs_only
2019-03-15T00:00:00+00:00,RISK_OFF,0.02497095556848939,0.025044689084162963,0.9499843553473524,pairs_only
2019-03-18T00:00:00+00:00,RISK_OFF,0.03804213502947472,0.030051730781415577,0.931906134189102,pairs_only
2019-03-19T00:00:00+00:00,RISK_OFF,0.04936322350300591,0.04960921621096555,0.9010275602860223,pairs_only
